VarName,TimeString,VarValue,Validity,Time_ms,time,pV,,Ak,0.632Ak,Tc,A,K,zeta,natural freq
Pv,4/18/2023 8:12,0,1,45034341676,0,0,,41,25.912,28.96499569,58,0.706896552,0.9,1
Pv,4/18/2023 8:12,0,1,45034341688,0.999441515,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341700,1.998883685,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341711,2.997330432,0,,Kp,Ti,,,,,
Pv,4/18/2023 8:12,0,1,45034341723,3.996781116,0,,72.34013537,1.765475569,,,,,
Pv,4/18/2023 8:12,0,1,45034341735,4.996222631,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341746,5.995664801,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341758,6.993123984,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341770,7.992566154,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341781,8.992008324,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341793,9.990454416,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341805,10.9879136,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341816,11.98537344,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341828,12.98481495,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341839,13.98425712,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341851,14.98271238,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341863,15.98314997,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341874,16.98259214,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341886,17.98004281,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341898,18.97849742,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341909,19.97793959,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341921,20.97639485,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341933,21.97583637,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341944,22.97627461,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341956,23.97472071,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341967,24.97416288,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341979,25.97360505,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034341991,26.97305573,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034342002,27.97150182,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034342014,28.97193941,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034342026,29.97038616,0,,,,,,,,
Pv,4/18/2023 8:12,0,1,45034342037,30.96884077,0,,,,,,,,
